exercise_id,Exercise_Name,Sex,Age,BodyweightKg,eq_clean,level_idx,goal_clean,Base_Lift,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,predicted_weight,target_reps
1022,Ghd Sit Up,M,42.0,76.0,Bodyweight,0,Bodybuilding,Cardio_Core,180.0,180.0,170.0,0.0,10
2150,Ring Rear Delt Flies,M,18.0,81.6,Bodyweight,0,Powerbuilding,Best3BenchKg,180.0,107.5,190.0,0.0,8
1354,Kelso Shrug/Incline Row,M,37.0,88.0,Dumbbell,2,Fitness,Best3DeadliftKg,195.0,185.0,260.0,94.0,12
2808,Trap Bar Jumps,M,28.0,86.2,Barbell,0,Athletics,Cardio_Core,172.5,130.0,180.0,0.0,12
2151,Ring Row,M,15.0,105.0,Bodyweight,0,Powerbuilding,Best3DeadliftKg,160.0,92.5,172.5,0.0,8
2169,Romanian Deadlift (Barbell),M,26.0,109.0,Barbell,2,Bodybuilding,Best3DeadliftKg,230.0,180.0,290.0,213.1,10
297,Bear Craw Isometric Hold,M,26.0,102.8,Bodyweight,0,Powerbuilding,Cardio_Core,220.0,140.0,285.0,0.0,8
240,Banded Deadbug,M,36.0,128.4,Bodyweight,1,Muscle & Sculpting,Cardio_Core,240.0,190.0,280.0,0.0,15
1898,"Posterior Chain (Band Good Mornings, Bodyweight Hyperextensions, Etc.)",M,18.5,74.1,Barbell,0,Muscle & Sculpting,Cardio_Core,205.0,117.5,240.0,5.0,15
340,Bench Press Pause (Dumbbell),M,18.5,74.1,Dumbbell,2,Powerbuilding,Best3BenchKg,205.0,117.5,240.0,70.0,8
2127,Reverse-Grip Pulldowns,M,23.0,81.8,Machine,0,Bodybuilding,Best3DeadliftKg,230.0,160.0,260.0,52.3,10
1206,Hip Thrust (Bodyweight),M,23.0,81.8,Bodyweight,2,Athletics,Best3SquatKg,230.0,160.0,260.0,97.0,12
2567,Smith Machine Shrugs,F,21.0,60.8,Machine,2,Powerbuilding,Best3DeadliftKg,85.0,50.0,110.0,21.2,10
1283,Incline Hybrid DB Fly,F,44.0,55.2,Dumbbell,2,Bodybuilding,Best3BenchKg,102.5,50.0,130.0,4.0,12
1071,Hack Squat Calf Raise,F,37.0,69.4,Machine,2,Powerlifting,Best3SquatKg,147.5,75.0,200.0,134.8,5
1471,Lateral Raise (Machine),M,23.0,74.2,Machine,2,Bodybuilding,Best3DeadliftKg,190.0,117.5,225.0,45.3,10
1593,Lying Overhead Tricep Extension (barbell),M,20.0,80.4,Machine,0,Powerbuilding,Best3BenchKg,210.0,147.5,230.0,33.4,8
2619,Squat Pin Presses,M,23.0,89.5,Barbell,0,Powerbuilding,Best3SquatKg,280.0,185.0,285.0,231.5,8
1853,Pistol Squat To Box,M,33.0,61.5,Bodyweight,0,Bodybuilding,Best3SquatKg,75.0,50.0,95.0,0.0,10
2479,Single Leg Seated Hamstring Curl,M,27.0,79.9,Machine,0,Bodybuilding,Best3DeadliftKg,230.0,180.0,255.0,51.3,10
1476,Lateral Raise Seated,M,27.0,89.5,Dumbbell,0,Powerbuilding,Best3DeadliftKg,297.5,195.0,327.5,48.0,8
2759,TRX Row,M,23.0,89.5,Machine,2,Powerbuilding,Best3DeadliftKg,280.0,185.0,285.0,258.1,8
1063,Guillotine Press,M,32.0,88.7,Barbell,1,Bodybuilding,Best3BenchKg,255.0,160.0,320.0,95.2,10
840,Dumbbell Swing,M,25.0,87.5,Dumbbell,0,Powerbuilding,Best3DeadliftKg,207.5,120.0,250.0,36.0,8
2266,Seated DB Shoulder Press,M,40.0,123.1,Dumbbell,0,Powerbuilding,Best3BenchKg,275.0,175.0,300.0,104.0,8
1687,Muscle Up,M,17.0,89.5,Bodyweight,2,Bodybuilding,Best3DeadliftKg,190.0,110.0,225.0,31.5,10
2872,Unilateral Preacher Curl,M,14.0,82.2,Dumbbell,0,Muscle & Sculpting,Best3DeadliftKg,150.0,92.5,185.0,18.0,15
2373,Side Crunch,M,18.0,60.9,Bodyweight,0,Bodybuilding,Cardio_Core,100.0,55.0,125.0,0.0,10
2639,Standing Cable Hip Abduction,F,11.0,56.0,Machine,2,Muscle & Sculpting,Best3SquatKg,45.0,28.0,80.5,5.4,17
2703,Straight Leg Deadlift,F,31.0,54.3,Barbell,2,Powerlifting,Best3DeadliftKg,105.0,55.0,147.5,123.1,5
1905,Power Shrug,F,22.0,58.7,Barbell,2,Bodybuilding,Best3DeadliftKg,145.0,82.5,160.0,20.2,12
653,Converging Machine Press (Anterior Delt),F,21.0,59.5,Machine,0,Powerlifting,Cardio_Core,110.0,57.5,120.0,5.0,5
1061,Ground Starts 10 Yards,F,33.5,67.5,Bodyweight,2,Fitness,Cardio_Core,132.5,65.0,200.0,0.0,14
2294,Seated Leg Curl (Cable),M,23.0,74.3,Machine,2,Powerlifting,Best3DeadliftKg,165.0,125.0,180.0,48.4,3
2220,Sandbag Clean,M,26.5,70.5,Barbell,3,Muscle & Sculpting,Best3DeadliftKg,195.0,117.5,210.0,88.4,15
2185,Rotating Bicep Curl,M,29.0,72.9,Dumbbell,1,Bodybuilding,Best3DeadliftKg,190.0,135.0,215.0,28.0,10
1592,Lying Leg Raise,M,27.0,73.7,Bodyweight,2,Bodybuilding,Best3BenchKg,160.0,107.5,175.0,15.0,10
1515,Leg Raise Floor,M,24.0,74.9,Bodyweight,2,Bodybuilding,Best3BenchKg,250.0,150.0,275.0,21.0,10
1471,Lateral Raise (Machine),M,33.0,75.9,Machine,2,Bodybuilding,Best3DeadliftKg,140.0,135.0,230.0,46.3,10
1556,Low-To-High Cable Fly,M,33.0,86.0,Machine,2,Bodyweight Fitness,Best3BenchKg,170.0,112.5,220.0,20.4,10
2027,Rear Delt Fly (Dumbbell),M,38.0,88.3,Dumbbell,2,Bodybuilding,Best3BenchKg,205.0,192.5,285.0,26.0,10
1626,Machine Lat Pulldown,M,28.0,89.4,Machine,2,Powerlifting,Best3DeadliftKg,205.0,132.5,240.0,64.5,3
2508,Sit Ups (Weighted),M,39.0,89.8,Bodyweight,2,Powerlifting,Cardio_Core,210.0,125.0,260.0,0.0,3
1261,Incline Curl,M,40.0,99.5,Dumbbell,3,Bodybuilding,Best3DeadliftKg,250.0,130.0,250.0,32.0,10
1907,Power Skips Distance 20 Yrds,M,16.0,110.0,Bodyweight,2,Fitness,Cardio_Core,215.0,117.5,215.0,0.0,12
996,Front Lever Hold,M,27.0,103.7,Bodyweight,2,Bodybuilding,Best3DeadliftKg,260.0,150.0,310.0,43.4,10
308,Behind The Neck Press,M,36.5,134.3,Barbell,2,Bodybuilding,Best3BenchKg,230.0,180.0,250.0,107.1,10
2542,Sled Push,F,34.0,55.6,Machine,0,Bodybuilding,Best3BenchKg,105.0,57.5,152.5,6.4,12
1517,"Legg Press (12,10,8,6,4)",F,28.0,59.4,Machine,2,Fitness,Best3BenchKg,120.0,55.0,140.0,16.7,14
1583,Lying Crucifix Lateral Raise,F,34.0,61.1,Dumbbell,2,Bodyweight Fitness,Best3DeadliftKg,120.0,67.5,130.0,14.0,12
2976,Wide Overhand Pulldown,F,24.0,74.6,Machine,0,Powerbuilding,Best3DeadliftKg,137.5,85.0,185.0,35.6,10
2070,Reverse Cambered Bar Bench Press,F,37.0,69.5,Barbell,2,Bodybuilding,Best3BenchKg,135.0,75.0,190.0,30.3,12
834,Dumbbell Shoulder Press,F,14.0,65.0,Dumbbell,2,Athletics,Best3BenchKg,105.0,62.5,125.0,14.0,14
2002,RP Hammer Strength Shoulder Press - Plate Loaded,F,16.0,81.3,Machine,2,Bodybuilding,Best3DeadliftKg,107.5,55.0,135.0,92.4,12
2699,Straight Bar Wrist Curl,F,40.0,63.6,Barbell,0,Athletics,Best3DeadliftKg,90.0,70.0,140.0,13.3,14
20,(CHEST) Decline Barbell Bench Press,F,25.0,58.6,Barbell,2,Muscle & Sculpting,Best3BenchKg,122.5,55.0,140.0,20.0,17
2859,Type Writer Pull Up,F,37.0,64.9,Bodyweight,2,Bodybuilding,Best3DeadliftKg,92.5,47.5,135.0,-39.1,12
2703,Straight Leg Deadlift,F,21.0,88.2,Barbell,2,Powerlifting,Best3DeadliftKg,182.5,82.5,200.0,166.9,5
1020,Garhammer Raise,M,23.0,86.0,Bodyweight,0,Bodybuilding,Best3BenchKg,190.0,110.0,200.0,0.0,10
158,Anderson Squat,M,20.0,88.6,Barbell,0,Powerbuilding,Best3SquatKg,135.0,105.0,185.0,111.6,8
1236,Incline Bench Press (Barbell),M,41.0,97.5,Barbell,2,Bodybuilding,Best3BenchKg,210.0,190.0,240.0,139.0,10
40,(SHOULDERS) Seated Iso Shoulder Press,M,32.0,74.1,Machine,2,Muscle & Sculpting,Best3BenchKg,210.0,147.5,245.0,84.0,15
2263,Seated Calf Raise,M,20.0,79.4,Machine,2,Bodybuilding,Best3SquatKg,205.0,132.5,242.5,41.3,10
2200,Run,M,33.0,76.2,Bodyweight,2,Muscle & Sculpting,Cardio_Core,187.5,125.0,250.0,0.0,15
1782,Overhead Press (Smith Machine),M,36.0,80.1,Machine,0,Muscle & Sculpting,Best3DeadliftKg,177.5,120.0,217.5,123.8,15
1082,Hammer Curl,M,34.0,79.5,Dumbbell,2,Bodybuilding,Best3DeadliftKg,142.5,100.0,215.0,28.0,10
2811,Trap Bar Shrug,M,37.0,87.4,Barbell,0,Powerlifting,Best3DeadliftKg,240.0,160.0,285.0,56.6,3
221,Band Resisted Steal Starts,M,31.0,87.4,Bodyweight,2,Athletics,Cardio_Core,220.0,137.5,240.0,0.0,12
279,Barbell Shoulder Press,M,24.0,87.2,Barbell,2,Powerlifting,Best3BenchKg,220.0,107.5,232.5,85.4,3
1473,Lateral Raise Eccentrics,M,29.0,102.4,Dumbbell,2,Powerbuilding,Best3DeadliftKg,215.0,180.0,275.0,40.0,8
2099,Reverse Hack Squat,M,26.0,144.1,Machine,0,Athletics,Best3SquatKg,225.0,137.5,240.0,136.4,12
2633,Stair Stepper,M,18.0,81.4,Machine,0,Powerlifting,Best3SquatKg,175.0,125.0,205.0,47.0,3
1517,"Legg Press (12,10,8,6,4)",M,14.0,70.8,Machine,2,Fitness,Best3BenchKg,142.5,77.5,150.0,42.8,12
606,Chin-Up (Assisted),M,16.0,80.7,Machine,2,Bodybuilding,Best3DeadliftKg,142.5,80.0,165.0,33.2,10
2010,RP Overhead Triceps Extension,M,21.0,73.2,Dumbbell,2,Bodybuilding,Best3BenchKg,200.0,110.0,220.0,14.0,10
2872,Unilateral Preacher Curl,M,22.0,74.6,Dumbbell,0,Muscle & Sculpting,Best3DeadliftKg,180.0,100.0,225.0,20.0,15
1020,Garhammer Raise,M,22.0,81.6,Bodyweight,0,Bodybuilding,Best3BenchKg,160.0,110.0,180.0,0.0,10
1749,One Arm Reverse Pec Deck,M,23.0,87.2,Machine,0,Bodybuilding,Best3BenchKg,260.0,177.5,275.0,35.7,10
1471,Lateral Raise (Machine),M,21.0,73.2,Machine,2,Bodybuilding,Best3DeadliftKg,200.0,110.0,220.0,44.3,10
1422,Lat Prayer,M,29.0,73.6,Machine,2,Muscle & Sculpting,Best3DeadliftKg,180.0,112.5,215.0,30.6,15
1020,Garhammer Raise,M,23.0,74.4,Bodyweight,0,Bodybuilding,Best3BenchKg,170.0,107.5,210.0,0.0,10
884,Elevated Heel Squat Holds,M,22.0,82.4,Bodyweight,0,Powerlifting,Best3SquatKg,205.0,140.0,255.0,0.0,3
2877,Unilateral Tricep Cable Pushdown(Rope),M,24.0,80.9,Machine,0,Athletics,Best3DeadliftKg,80.0,150.0,100.0,15.2,12
21,(CHEST) Flat Dumbbell Bench Press,M,27.0,88.3,Dumbbell,2,Muscle & Sculpting,Best3DeadliftKg,282.5,192.5,312.5,116.0,15
2465,Single Leg Lateral Broad Jump Ea Leg,M,23.0,87.2,Bodyweight,1,Athletics,Cardio_Core,260.0,177.5,275.0,0.0,12
2979,Wide Stance Rdl,M,22.0,89.8,Barbell,2,Powerlifting,Best3DeadliftKg,230.0,140.0,245.0,48.7,3
592,Chest Supported Row (Machine),M,24.0,121.8,Machine,2,Bodybuilding,Best3DeadliftKg,320.0,175.0,335.0,269.7,10
2693,Straight Arm Pulldown,M,27.0,122.2,Machine,2,Bodybuilding,Best3DeadliftKg,290.0,200.0,260.0,52.3,10
1892,Plyometric Push Ups,F,30.0,57.8,Bodyweight,0,Powerbuilding,Best3BenchKg,100.0,57.5,145.0,-44.1,10
1626,Machine Lat Pulldown,M,15.0,54.4,Machine,2,Powerlifting,Best3DeadliftKg,100.0,60.0,160.0,43.0,3
465,Cable Cross Tricep Pushdown,M,24.5,65.7,Machine,0,Muscle & Sculpting,Best3BenchKg,195.0,112.5,215.0,16.0,15
1360,Kettlebell Clean & Press,M,17.0,74.4,Dumbbell,2,Fitness,Best3DeadliftKg,160.0,95.0,195.0,70.0,12
1619,Machine Calf Raise,M,18.0,68.3,Machine,1,Athletics,Best3SquatKg,140.0,75.0,150.0,21.2,12
1782,Overhead Press (Smith Machine),M,23.0,77.1,Machine,0,Muscle & Sculpting,Best3DeadliftKg,210.0,140.0,260.0,148.0,15
2703,Straight Leg Deadlift,M,23.0,77.1,Barbell,2,Powerlifting,Best3DeadliftKg,210.0,140.0,260.0,255.3,3
2251,Seated Alternating Lateral,M,45.5,81.3,Dumbbell,3,Bodybuilding,Best3DeadliftKg,182.5,135.0,210.0,26.0,10
2687,Straigh bar - Cable pull down,M,37.0,89.0,Machine,0,Athletics,Best3DeadliftKg,220.0,132.5,260.0,39.4,12
2649,Standing Leg Curl,M,37.5,88.3,Machine,0,Bodybuilding,Best3DeadliftKg,190.0,130.0,235.0,47.3,10
496,Cable Shrugs,M,14.0,93.0,Machine,2,Bodybuilding,Best3DeadliftKg,127.5,75.0,150.0,30.2,10
1593,Lying Overhead Tricep Extension (barbell),M,16.0,111.3,Machine,0,Powerbuilding,Best3BenchKg,100.0,52.5,120.0,11.9,8
2251,Seated Alternating Lateral,M,35.0,122.5,Dumbbell,3,Bodybuilding,Best3DeadliftKg,240.0,180.0,280.0,36.0,10
2576,Snatch (Barbell),M,22.0,81.8,Barbell,2,Bodybuilding,Best3DeadliftKg,220.0,157.5,250.0,148.8,10
845,Dumbbell Underhand Chest Fly,M,22.0,81.8,Dumbbell,0,Powerlifting,Best3BenchKg,220.0,157.5,250.0,28.0,3
2175,Romanian Deadlifts,F,30.5,51.0,Barbell,0,Powerlifting,Best3DeadliftKg,90.0,52.5,112.5,93.9,5
25,(GLUTES) Barbell Hip Thrust,F,50.5,51.2,Barbell,2,Muscle & Sculpting,Best3SquatKg,120.0,60.0,150.0,40.7,17
2980,Wide Stance Sumo Squats,F,20.5,51.5,Bodyweight,2,Athletics,Best3SquatKg,77.5,52.5,110.0,27.8,14
2302,Seated Or Lying Hamstring Curl (Swap This Out For Either),F,37.0,51.8,Machine,1,Bodybuilding,Best3DeadliftKg,92.5,66.0,125.0,21.4,12
1339,Jump Switch Lunge,F,35.5,52.0,Bodyweight,0,Muscle & Sculpting,Cardio_Core,87.5,62.5,117.5,0.0,15
1102,Hamstring Curl (TRX),F,40.5,54.5,Machine,0,Powerbuilding,Best3DeadliftKg,60.0,30.0,125.0,24.0,10
1471,Lateral Raise (Machine),F,31.5,56.1,Machine,2,Bodybuilding,Best3DeadliftKg,92.5,55.0,150.0,25.7,12
2002,RP Hammer Strength Shoulder Press - Plate Loaded,F,31.5,56.4,Machine,2,Bodybuilding,Best3DeadliftKg,100.0,85.0,142.5,97.5,12
1471,Lateral Raise (Machine),F,31.5,62.8,Machine,2,Bodybuilding,Best3DeadliftKg,102.5,50.0,135.0,23.1,12
2302,Seated Or Lying Hamstring Curl (Swap This Out For Either),F,25.0,71.9,Machine,1,Bodybuilding,Best3DeadliftKg,102.5,72.5,135.0,23.1,12
1083,Hammer Curl (Cable),F,27.5,76.8,Machine,2,Bodybuilding,Best3DeadliftKg,140.0,70.0,167.5,28.7,12
764,Deficit Handstand Push Up,F,34.5,78.3,Bodyweight,2,Bodybuilding,Best3BenchKg,142.5,60.0,170.0,-61.9,12
2261,Seated Cable Row,F,26.5,89.0,Machine,0,Powerbuilding,Best3DeadliftKg,137.5,75.0,150.0,115.5,10
2140,Ring Lat Pull,F,30.5,98.8,Bodyweight,0,Powerbuilding,Best3DeadliftKg,160.0,75.0,185.0,-59.2,10
3008,Y Raise,F,19.5,117.9,Dumbbell,2,Bodybuilding,Best3BenchKg,180.0,80.0,220.0,6.0,12
465,Cable Cross Tricep Pushdown,M,20.5,53.4,Machine,0,Muscle & Sculpting,Best3BenchKg,127.5,85.0,180.0,12.1,15
1063,Guillotine Press,M,27.5,63.8,Barbell,1,Bodybuilding,Best3BenchKg,180.0,110.0,215.0,65.5,10
166,Archer Push Up,M,41.5,64.4,Bodyweight,0,Powerlifting,Best3BenchKg,170.0,110.0,210.0,-34.3,3
2974,Wide Neutral Pulldown,M,51.5,64.7,Machine,0,Powerbuilding,Best3DeadliftKg,120.0,92.5,150.0,32.0,8
407,Bodyweight Triceps Extension,M,19.5,64.9,Bodyweight,0,Muscle & Sculpting,Best3BenchKg,150.0,82.5,200.0,0.0,15
1422,Lat Prayer,M,36.5,65.9,Machine,2,Muscle & Sculpting,Best3DeadliftKg,185.0,97.5,271.0,38.6,15
1348,Kas Glute Bridge,M,17.5,71.6,Bodyweight,0,Muscle & Sculpting,Best3SquatKg,165.0,95.0,200.0,0.0,15
2301,Seated Military Press (smith Machine),M,26.5,72.1,Machine,0,Bodyweight Fitness,Best3DeadliftKg,180.0,125.0,205.0,148.5,10
1438,Lat Pulldown Machine,M,21.0,72.8,Machine,2,Powerbuilding,Best3DeadliftKg,233.0,130.0,260.0,58.9,8
1557,Low-to-High Cable Fly,M,51.5,73.2,Machine,0,Powerbuilding,Best3BenchKg,150.0,95.0,190.0,20.3,8
2508,Sit Ups (Weighted),M,34.5,73.4,Bodyweight,2,Powerlifting,Cardio_Core,202.5,142.5,235.0,0.0,3
1215,Hollow Body Pullups,M,22.5,73.7,Bodyweight,0,Powerbuilding,Best3DeadliftKg,202.5,152.5,235.0,-25.6,8
1127,Hanging Toes To Bar,M,22.5,73.9,Bodyweight,2,Bodybuilding,Cardio_Core,185.0,117.5,215.0,0.0,10
2736,Superman,M,26.5,79.9,Bodyweight,2,Bodybuilding,Cardio_Core,155.0,130.0,210.0,0.0,10
626,Close Grip Bench Press (Smith Machine),M,17.5,81.0,Machine,2,Bodybuilding,Best3DeadliftKg,175.0,130.0,222.5,179.1,10
2703,Straight Leg Deadlift,M,71.0,81.4,Barbell,2,Powerlifting,Best3DeadliftKg,150.0,85.0,180.0,149.3,3
2403,Single Arm High Row (Cable),M,24.0,82.3,Machine,2,Bodybuilding,Best3DeadliftKg,225.0,142.5,260.0,209.3,10
2697,Straight Bar Cable Extensions,M,23.0,82.6,Machine,2,Powerbuilding,Best3DeadliftKg,187.5,102.5,250.0,56.6,8
990,Front Foot Elevated Lunge,M,60.0,90.0,Bodyweight,2,Bodybuilding,Best3SquatKg,162.5,137.5,215.0,81.9,10
2649,Standing Leg Curl,M,34.5,91.9,Machine,0,Bodybuilding,Best3DeadliftKg,260.0,180.5,275.0,55.3,10
2863,Underhand Row,M,48.0,92.1,Barbell,2,Powerbuilding,Best3DeadliftKg,210.0,142.5,230.0,147.8,8
654,Copenhagen Plank,M,22.5,92.6,Bodyweight,2,Bodybuilding,Cardio_Core,240.0,180.0,245.0,0.0,10
706,DB Lateral Raise,M,37.5,92.8,Dumbbell,0,Powerbuilding,Best3DeadliftKg,270.0,170.0,277.5,40.0,8
1472,Lateral Raise (Seated),M,30.0,100.7,Dumbbell,0,Muscle & Sculpting,Best3DeadliftKg,260.0,205.0,320.0,30.0,15
650,Concentration Cable Curl,M,43.5,102.0,Machine,0,Athletics,Best3DeadliftKg,222.5,165.0,230.0,34.2,12
622,Clean and Press,M,41.5,102.0,Barbell,2,Bodybuilding,Best3DeadliftKg,165.0,132.5,205.0,121.1,10
1184,Hip Adductor Dropset,M,20.5,103.6,Machine,0,Powerlifting,Best3SquatKg,265.0,132.5,262.5,71.2,3
481,Cable Overhead Curl,M,18.5,107.8,Machine,2,Powerbuilding,Best3DeadliftKg,245.0,152.5,320.0,72.5,8
1820,Paused Platz Squat (Barbell),M,20.5,115.2,Barbell,2,Powerlifting,Best3SquatKg,277.5,170.0,310.0,272.4,3
35,(LEGS) Sled Push,M,31.5,116.0,Machine,2,Muscle & Sculpting,Best3BenchKg,260.0,190.0,250.0,27.0,15
1913,Preacher Curl  (Plate Loaded),M,15.5,116.1,Machine,2,Fitness,Best3DeadliftKg,222.5,122.5,237.5,32.8,12
404,Bodyweight Single Leg Deadlifts W/ Reach,M,22.5,116.5,Barbell,2,Fitness,Best3DeadliftKg,300.0,210.0,250.0,126.0,12
1020,Garhammer Raise,M,21.5,121.2,Bodyweight,0,Bodybuilding,Best3BenchKg,250.0,145.0,215.0,0.0,10
70,3 Count Pause Bench,M,13.0,129.5,Barbell,2,Fitness,Best3BenchKg,165.0,145.0,200.0,20.0,12
2944,Weighted Hanging Oblique Knee Raise,M,41.5,136.5,Bodyweight,2,Muscle & Sculpting,Best3BenchKg,325.0,220.0,317.5,21.6,15
2087,Reverse Grip Cable Triceps Extension,M,31.0,144.2,Machine,0,Muscle & Sculpting,Best3BenchKg,322.5,182.5,290.0,26.0,15
840,Dumbbell Swing,M,50.0,145.2,Dumbbell,0,Powerbuilding,Best3DeadliftKg,275.0,142.5,262.5,36.0,8
828,Dumbbell Press Or Weighted Pushups (Swap This Out For Either),M,32.0,147.1,Dumbbell,1,Bodybuilding,Best3BenchKg,305.0,222.5,300.0,116.0,10
1360,Kettlebell Clean & Press,M,26.5,161.5,Dumbbell,2,Fitness,Best3DeadliftKg,337.5,205.0,330.0,118.0,12
1665,Medicine Ball Russian Twist,F,15.5,55.0,Bodyweight,0,Athletics,Cardio_Core,110.0,45.0,110.0,0.0,14
1905,Power Shrug,F,15.5,57.7,Barbell,2,Bodybuilding,Best3DeadliftKg,75.0,50.0,107.5,13.6,12
1871,Plank With Leg Lift,F,31.5,61.2,Bodyweight,2,Powerlifting,Cardio_Core,125.0,75.0,130.0,0.0,3
2965,Wide Grip Incline Benchpress,F,26.5,68.2,Barbell,0,Powerbuilding,Best3BenchKg,105.0,55.0,145.0,25.0,10
298,Bear Crawl,F,35.5,83.0,Bodyweight,0,Powerbuilding,Cardio_Core,167.5,85.0,165.0,0.0,10
277,Barbell Row,F,33.5,80.1,Barbell,2,Bodybuilding,Best3DeadliftKg,130.0,50.0,140.0,70.8,12
1127,Hanging Toes To Bar,M,25.5,56.4,Bodyweight,2,Bodybuilding,Cardio_Core,150.0,90.0,180.0,0.0,10
1583,Lying Crucifix Lateral Raise,M,23.5,72.5,Dumbbell,2,Bodyweight Fitness,Best3DeadliftKg,210.0,132.5,210.0,24.0,10
