candidate_id,equipment_golden
1400,Dumbbell
223,Bands
589,Dumbbell
2216,Other
1641,Other
170,Dumbbell
944,Other
1295,Dumbbell
1222,Bodyweight
804,Bodyweight
2832,Machine
1720,Barbell
3007,Other
47,Machine
1140,Other
2619,Barbell
2247,Bodyweight
2520,Dumbbell
2193,Machine
2202,Cardio
1131,Other
88,Other
1216,Bodyweight
1149,Dumbbell
2785,Bodyweight
2844,Machine
152,Other
428,Barbell
2395,Dumbbell
964,Barbell
2401,Dumbbell
1481,Other
1677,Bands
2121,Dumbbell
2857,Bodyweight
2217,Other
2149,Bodyweight
2792,Other
1186,Other
693,Bodyweight
1732,Other
2314,Dumbbell
970,Other
566,Bands
966,Barbell
1520,Other
963,Dumbbell
714,Bodyweight
416,Bodyweight
1693,Machine
548,Other
737,Machine
2718,Dumbbell
631,Bodyweight
3014,Other
1773,Bodyweight
1523,Cardio
435,Bodyweight
2436,Machine
59,Cardio
1882,Barbell
2963,Barbell
570,Machine
1529,Other
1746,Dumbbell
2009,Machine
1159,Dumbbell
914,Machine
289,Other
757,Bodyweight
414,Bodyweight
885,Other
1477,Cardio
2972,Machine
1642,Other
802,Barbell
2235,Other
2375,Bodyweight
2704,Cardio
221,Bands
2390,Bodyweight
1662,Other
550,Other
692,Bodyweight
2215,Other
453,Dumbbell
3015,Other
1351,Machine
3016,Barbell
542,Cardio
663,Other
2244,Barbell
603,Other
742,Dumbbell
772,Barbell
1652,Other
1017,Bodyweight
2048,Other
960,Other
2342,Other
1217,Bodyweight
1692,Machine
2195,Bodyweight
1291,Dumbbell
2594,Bodyweight
2051,Other
647,Bodyweight
2900,Other
1919,Machine
442,Bodyweight
1521,Cardio
2525,Barbell
1586,Machine
2277,Machine
1019,Bodyweight
2376,Bodyweight
913,Machine
293,Dumbbell
1605,Other
1614,Other
2458,Bodyweight
1733,Machine
1670,Barbell
2162,Bodyweight
1163,Cardio
2597,Dumbbell
2814,Other
1318,Machine
1491,Machine
981,Barbell
1304,Dumbbell
1274,Dumbbell
1925,Barbell
1659,Other
1998,Machine
790,Other
2329,Barbell
79,Bodyweight
2040,Dumbbell
2783,Other
2150,Bodyweight
2335,Other
1644,Other
562,Machine
1835,Other
2089,Bodyweight
1059,Other
172,Other
2325,Dumbbell
364,Barbell
580,Dumbbell
1030,Bodyweight
2242,Other
892,Cardio
2789,Bodyweight
1144,Other
1701,Other
2223,Other
708,Dumbbell
2854,Other
2320,Machine
1718,Bodyweight
115,Machine
1832,Other
1766,Dumbbell
2057,Other
1826,Bodyweight
1983,Bodyweight
1944,Bodyweight
2712,Other
2812,Barbell
2964,Machine
2380,Bodyweight
1465,Machine
919,Other
1756,Bodyweight
2664,Bodyweight
359,Dumbbell
2747,Barbell
1730,Bodyweight
2743,Bodyweight
193,Cardio
965,Other
2411,Machine
918,Dumbbell
1395,Other
188,Bodyweight
657,Other
597,Machine
2919,Other
1694,Other
3010,Dumbbell
2656,Machine
1038,Bodyweight
2905,Machine
78,Other
877,Bands
2779,Other
73,Cardio
2633,Machine
2627,Machine
1225,Machine
2910,Bodyweight
1016,Other
1715,Machine
2192,Other
3006,Other
2213,Other
2327,Other
1121,Bodyweight
176,Dumbbell
1904,Barbell
1705,Other
614,Bodyweight
853,Dumbbell
2257,Machine
2990,Other
1608,Other
163,Other
1011,Other
2110,Other
1109,Bodyweight
2072,Barbell
2016,Bodyweight
2013,Machine
2686,Other
1540,Machine
1812,Bodyweight
1041,Machine
1829,Machine
1213,Other
1594,Machine
1201,Bodyweight
350,Dumbbell
1989,Other
72,Cardio
3017,Barbell
1615,Other
1451,Other
855,Dumbbell
2418,Dumbbell
652,Other
1894,Bodyweight
1403,Bodyweight
2155,Bodyweight
1012,Other
2985,Barbell
71,Dumbbell
2803,Dumbbell
1300,Dumbbell
213,Other
456,Other
611,Bands
1967,Barbell
264,Barbell
1177,Other
189,Bodyweight
1457,Bodyweight
937,Dumbbell
1325,Barbell
2670,Machine
1003,Dumbbell
876,Machine
2322,Machine
256,Bands
58,Cardio
1130,Other
1643,Barbell
1754,Bodyweight
2041,Bands
2036,Bodyweight
56,Cardio
1043,Bodyweight
2509,Barbell
659,Bodyweight
212,Bands
1645,Barbell
679,Cardio
675,Machine
2787,Other
143,Bodyweight
383,Cardio
2766,Bodyweight
234,Other
2641,Bodyweight
2957,Bodyweight
2958,Dumbbell
866,Other
294,Machine
1098,Machine
1401,Dumbbell
2413,Dumbbell
1943,Machine
1987,Other
153,Other
543,Other
2321,Other
2194,Bands
1180,Bands
2290,Dumbbell
927,Bands
2182,Machine
945,Other
1327,Other
916,Machine
1531,Other
2511,Other
2615,Barbell
226,Bands
2797,Other
53,Cardio
1840,Bodyweight
697,Bodyweight
585,Dumbbell
452,Other
2343,Other
707,Bodyweight
432,Barbell
2611,Bodyweight
872,Barbell
871,Barbell
1065,Barbell
2711,Other
66,Barbell
915,Machine
2114,Machine
451,Cardio
2553,Bodyweight
1590,Bodyweight
791,Bands
983,Bodyweight
2211,Barbell
2008,Barbell
2632,Cardio
920,Other
411,Bodyweight
2815,Other
3047,Other
694,Bodyweight
1636,Other
1466,Machine
100,Other
1706,Other
1964,Barbell
2746,Barbell
1317,Machine
1126,Dumbbell
906,Barbell
1404,Bodyweight
879,Other
1824,Other
38,Dumbbell
942,Other
1347,Bodyweight
1736,Bodyweight
1830,Other
972,Other
956,Other
1266,Dumbbell
2753,Other
245,Bands
3002,Other
1158,Dumbbell
2108,Bodyweight
2887,Other
344,Bodyweight
861,Other
1752,Machine
1377,Barbell
1313,Other
759,Bodyweight
202,Bodyweight
2482,Bodyweight
2389,Bands
986,Dumbbell
103,Other
2135,Bodyweight
1004,Other
2625,Barbell
2341,Other
700,Cardio
1478,Cardio
0,Other
2517,Cardio
1319,Other
122,Bodyweight
2226,Other
415,Dumbbell
1381,Bodyweight
2646,Barbell
2862,Machine
1930,Machine
1555,Cardio
2891,Barbell
1804,Bodyweight
854,Dumbbell
977,Machine
1021,Bodyweight
2925,Bodyweight
946,Barbell
1900,Dumbbell
309,Barbell
1120,Bodyweight
962,Other
211,Other
588,Dumbbell
2199,Other
1532,Other
1093,Dumbbell
217,Bands
2694,Machine
1033,Bands
2159,Bodyweight
1164,Cardio
2225,Other
310,Bodyweight
1654,Other
1424,Machine
1637,Bodyweight
76,Cardio
1122,Bodyweight
2790,Bodyweight
1157,Machine
2420,Dumbbell
155,Bodyweight
2198,Other
178,Cardio
1445,Cardio
2059,Other
3005,Dumbbell
1111,Bodyweight
1211,Bodyweight
1565,Other
1765,Other
118,Bodyweight
1387,Bands
2303,Barbell
2112,Machine
2427,Dumbbell
1682,Bands
3012,Other
534,Bodyweight
1246,Dumbbell
2493,Other
2279,Other
49,Cardio
2770,Barbell
2050,Other
862,Other
2908,Cardio
1613,Other
1786,Barbell
3035,Dumbbell
2904,Machine
634,Barbell
2052,Other
1289,Dumbbell
2519,Bodyweight
9,Machine
987,Dumbbell
2882,Machine
2326,Machine
2914,Bodyweight
1666,Other
2714,Other
1479,Other
1024,Bodyweight
1825,Other
909,Bodyweight
2672,Cardio
1552,Machine
1566,Other
1880,Other
2058,Other
1941,Bodyweight
1079,Cardio
1528,Cardio
239,Bands
2998,Other
1787,Barbell
921,Barbell
2498,Other
1091,Machine
905,Barbell
1147,Dumbbell
928,Bodyweight
158,Barbell
858,Dumbbell
2391,Bodyweight
2409,Barbell
709,Machine
2344,Bodyweight
250,Bands
228,Bands
422,Cardio
1993,Barbell
455,Machine
1842,Bodyweight
2319,Other
1305,Dumbbell
2776,Bands
238,Bands
2916,Bodyweight
672,Other
1322,Barbell
1533,Other
979,Machine
989,Bodyweight
1534,Barbell
1750,Machine
545,Other
295,Machine
1076,Cardio
803,Bodyweight
2358,Other
2849,Dumbbell
1245,Dumbbell
999,Machine
2060,Cardio
1899,Other
87,Cardio
1188,Bands
1921,Barbell
1107,Other
2224,Other
1234,Barbell
1014,Other
1101,Bands
2472,Machine
2414,Dumbbell
68,Cardio
208,Bands
2886,Other
2184,Machine
1663,Other
127,Bodyweight
161,Other
1588,Barbell
2230,Other
2727,Barbell
1640,Other
63,Cardio
1986,Other
1938,Barbell
2077,Dumbbell
2228,Other
1074,Bands
1309,Dumbbell
2676,Bodyweight
793,Other
1161,Dumbbell
1817,Bodyweight
184,Dumbbell
1697,Other
1314,Other
1449,Cardio
1524,Other
1463,Cardio
1297,Cardio
1259,Dumbbell
1581,Other
880,Bodyweight
1844,Barbell
2843,Machine
242,Bands
715,Other
1461,Other
1192,Other
1755,Other
2336,Other
140,Machine
3053,Dumbbell
852,Dumbbell
2928,Other
2589,Barbell
665,Bodyweight
2450,Bodyweight
2652,Bands
2901,Bodyweight
2333,Other
70,Barbell
2660,Dumbbell
2858,Other
2907,Dumbbell
304,Barbell
2053,Other
1081,Dumbbell
2768,Other
884,Bodyweight
2513,Other
796,Cardio
2883,Machine
1248,Other
319,Barbell
1127,Bodyweight
780,Other
1143,Bodyweight
2933,Other
216,Other
2047,Other
2094,Machine
1308,Other
2203,Bodyweight
1878,Other
2492,Other
2010,Dumbbell
917,Dumbbell
996,Bodyweight
1969,Other
40,Machine
2251,Dumbbell
1,Other
1856,Bodyweight
77,Cardio
2872,Dumbbell
1722,Other
997,Other
3045,Other
1725,Bodyweight
661,Bodyweight
2237,Other
1885,Other
1985,Other
1612,Machine
2689,Machine
2032,Other
61,Other
2503,Bodyweight
81,Dumbbell
2701,Bodyweight
199,Other
2984,Bodyweight
306,Barbell
64,Cardio
2497,Other
124,Bodyweight
1447,Bands
2965,Barbell
1597,Dumbbell
2696,Bodyweight
2349,Dumbbell
2316,Barbell
97,Other
2197,Other
1798,Bands
2771,Barbell
2243,Dumbbell
15,Dumbbell
974,Barbell
658,Other
112,Bodyweight
1261,Dumbbell
2157,Other
2045,Bodyweight
587,Dumbbell
2253,Dumbbell
2,Other
2608,Dumbbell
425,Other
107,Barbell
220,Bands
2983,Other
867,Other
1296,Cardio
138,Bodyweight
705,Dumbbell
1968,Other
922,Dumbbell
1197,Bodyweight
1819,Barbell
1695,Other
1458,Bodyweight
74,Barbell
2128,Dumbbell
911,Machine
3023,Dumbbell
2982,Other
1962,Machine
632,Barbell
200,Machine
2675,Bodyweight
1235,Dumbbell
1850,Other
2848,Machine
1275,Dumbbell
1831,Bodyweight
2691,Machine
201,Other
957,Other
902,Bands
1827,Other
1841,Bodyweight
1348,Bodyweight
2944,Bodyweight
2690,Machine
1175,Machine
1726,Bodyweight
2534,Other
1890,Other
1855,Bodyweight
2975,Bodyweight
1165,Other
240,Bands
2236,Other
1142,Bodyweight
1166,Barbell
1492,Bodyweight
2231,Other
1227,Other
1100,Machine
3008,Dumbbell
197,Other
1349,Other
690,Other
1813,Barbell
2979,Barbell
1759,Bodyweight
800,Other
2699,Barbell
160,Bodyweight
1839,Bodyweight
2778,Other
2003,Machine
1440,Machine
92,Other
2345,Bands
2930,Other
2152,Bodyweight
1029,Bodyweight
2989,Other
457,Other
376,Machine
2049,Other
1397,Other
384,Other
2648,Bodyweight
1386,Bodyweight
1834,Other
2793,Other
1220,Bodyweight
2479,Machine
2679,Other
1486,Bands
2977,Dumbbell
1103,Other
394,Barbell
1801,Bands
2505,Bodyweight
2764,Other
666,Bodyweight
703,Other
84,Bodyweight
351,Barbell
1230,Other
142,Cardio
860,Other
2481,Bodyweight
609,Dumbbell
2227,Other
251,Bands
19,Cardio
252,Bands
2466,Cardio
1283,Dumbbell
1562,Bodyweight
768,Bodyweight
1769,Barbell
1482,Cardio
971,Other
2991,Other
2256,Dumbbell
1775,Other
2153,Bodyweight
209,Bands
1311,Bodyweight
1506,Machine
3056,Other
129,Other
1854,Other
1585,Machine
2748,Other
2741,Bodyweight
1032,Bodyweight
547,Other
2252,Dumbbell
932,Dumbbell
2629,Other
1063,Barbell
2595,Dumbbell
2185,Dumbbell
2151,Bodyweight
2405,Dumbbell
1538,Other
1905,Barbell
429,Other
2554,Bodyweight
1516,Other
2406,Machine
1223,Other
553,Other
2700,Cardio
444,Other
2929,Other
2201,Cardio
1104,Other
1419,Machine
753,Barbell
2459,Machine
2658,Dumbbell
1517,Machine
2945,Bodyweight
612,Bands
2081,Barbell
144,Other
2654,Barbell
2034,Barbell
2422,Machine
563,Machine
2111,Machine
961,Bodyweight
1168,Machine
2044,Other
2620,Dumbbell
247,Bands
1907,Cardio
99,Other
2189,Other
2827,Dumbbell
604,Other
2599,Other
2713,Other
984,Bodyweight
2310,Machine
108,Other
2934,Other
1292,Dumbbell
801,Barbell
2531,Barbell
2863,Barbell
1392,Other
758,Bodyweight
644,Other
1199,Other
1703,Barbell
1039,Machine
1133,Other
2460,Bodyweight
2635,Cardio
2830,Dumbbell
939,Other
1901,Other
173,Bodyweight
1646,Dumbbell
387,Other
1000,Dumbbell
2444,Bodyweight
1061,Cardio
237,Bands
2987,Dumbbell
869,Barbell
1396,Other
1224,Other
1344,Bodyweight
1939,Dumbbell
1356,Other
1970,Barbell
233,Bands
549,Other
2334,Other
1761,Barbell
2502,Bodyweight
69,Cardio
2179,Machine
2673,Cardio
525,Bodyweight
1306,Other
1935,Other
1699,Other
255,Bands
1982,Bodyweight
1679,Other
249,Bands
2002,Machine
307,Barbell
2347,Bands
1178,Cardio
1090,Dumbbell
106,Barbell
1335,Cardio
2780,Other
1013,Other
1683,Bands
1254,Dumbbell
1988,Other
1936,Barbell
2913,Bodyweight
95,Other
1796,Other
1748,Dumbbell
308,Barbell
2885,Other
218,Bands
2372,Other
1480,Cardio
1226,Other
1883,Other
2668,Dumbbell
1015,Other
2515,Cardio
1649,Other
2200,Cardio
2674,Cardio
2270,Dumbbell
990,Bodyweight
117,Bodyweight
967,Dumbbell
1331,Dumbbell
1170,Bodyweight
643,Bodyweight
1190,Other
1906,Other
2999,Other
1312,Other
1816,Other
1913,Machine
2180,Machine
159,Bodyweight
360,Dumbbell
57,Other
668,Other
385,Other
290,Machine
2440,Other
2302,Machine
2813,Cardio
2506,Bodyweight
2339,Cardio
2125,Dumbbell
104,Bodyweight
2634,Cardio
1698,Other
2029,Other
2352,Dumbbell
1138,Bodyweight
1991,Bodyweight
1917,Barbell
2659,Other
1264,Dumbbell
2337,Other
1604,Barbell
1584,Dumbbell
1833,Bodyweight
1541,Other
2263,Machine
2210,Barbell
1665,Bodyweight
1959,Other
2140,Bodyweight
931,Barbell
2744,Other
3044,Bodyweight
992,Bodyweight
2710,Other
2238,Machine
1196,Other
2828,Dumbbell
204,Other
605,Other
1574,Bodyweight
2665,Other
368,Dumbbell
674,Machine
1656,Other
1329,Other
794,Bands
797,Bands
908,Bodyweight
594,Barbell
1984,Machine
292,Other
2030,Dumbbell
923,Barbell
2120,Other
613,Bands
598,Machine
1378,Other
894,Cardio
925,Other
596,Dumbbell
1772,Dumbbell
96,Other
105,Other
297,Bodyweight
1696,Other
2742,Bodyweight
