candidate_id,exercise_name,equipment_golden
1648,Med Ball Backward Toss,REVIEW_NEEDED
1060,Ground Mobility,REVIEW_NEEDED
2728,Sumo Squat,REVIEW_NEEDED
300,Bear Position Pull Through,REVIEW_NEEDED
868,Développer Horizontale,REVIEW_NEEDED
994,Front Lever,REVIEW_NEEDED
1639,Marching Glute Bridge,REVIEW_NEEDED
2784,Tib Raises,REVIEW_NEEDED
1661,Medicine Ball Floor Throw And Hip Toss,REVIEW_NEEDED
50,1-1/4 Squat,REVIEW_NEEDED
1811,Partner Agility Drill,REVIEW_NEEDED
291,Battle Ropes,REVIEW_NEEDED
1560,Lower Body Accessory 1,REVIEW_NEEDED
2033,Rear Delt Row,REVIEW_NEEDED
2788,Tibialis Curl,REVIEW_NEEDED
2624,Squat Walkout,REVIEW_NEEDED
3018,Yoke Walk,REVIEW_NEEDED
382,Bike,REVIEW_NEEDED
2842,Tricep-Pressdown,REVIEW_NEEDED
1105,Hamstring Stretch with Rotation,REVIEW_NEEDED
91,60m Sprint,REVIEW_NEEDED
978,Frame Hold,REVIEW_NEEDED
34,(LEGS) Pendulum Squat,REVIEW_NEEDED
1719,Nordic Curls (Freak Athlete),REVIEW_NEEDED
1525,Light Stretching,REVIEW_NEEDED
2248,Scott Curl,REVIEW_NEEDED
224,Band Shoulder Rotations,REVIEW_NEEDED
859,Dynamic Med Ball Rotational Toss,REVIEW_NEEDED
1729,Oblique Twists,REVIEW_NEEDED
2906,WALKOUT SQUAT,REVIEW_NEEDED
2752,TNF Row (upper Back),REVIEW_NEEDED
1334,Jesus Curl,REVIEW_NEEDED
891,Elevated skier Squat,REVIEW_NEEDED
94,90-90s,REVIEW_NEEDED
551,Cat Cow and T-Spine Rotation,REVIEW_NEEDED
1937,Pronation,REVIEW_NEEDED
1485,Lateral band walk,REVIEW_NEEDED
1316,Iso Low Row,REVIEW_NEEDED
2719,Suitcase Carry March,REVIEW_NEEDED
1293,Incline Rear Shrug,REVIEW_NEEDED
1379,Knee Hug - In Place (reps per leg),REVIEW_NEEDED
2798,Toe Yoga,REVIEW_NEEDED
933,Flat Chest Press,REVIEW_NEEDED
2031,Rear Delt Fly Unilateral,REVIEW_NEEDED
2477,Single Leg Seated Calf Raise,REVIEW_NEEDED
1284,Incline Lat Raise,REVIEW_NEEDED
2851,Tube Walk,REVIEW_NEEDED
1607,MCGILL BIG 3,REVIEW_NEEDED
582,Chest Supported Low Row,REVIEW_NEEDED
168,Arm Circle,REVIEW_NEEDED
3003,Wrist Rotations,REVIEW_NEEDED
1657,Med Ball Soccer Toss,REVIEW_NEEDED
1125,Hanging Oblique Knee Raise,REVIEW_NEEDED
969,Forearm Internal Rotation,REVIEW_NEEDED
1942,Prone Y Raise,REVIEW_NEEDED
141,Agility Ladder,REVIEW_NEEDED
109,AD Press,REVIEW_NEEDED
2526,Skull Crusher (EZ-Bar),REVIEW_NEEDED
230,Banded Ankle Mobilizations,REVIEW_NEEDED
1095,Hammer Squat Lung Calf Raises,REVIEW_NEEDED
2066,Reverse Bicep Curl (EZ Bar),REVIEW_NEEDED
146,Alternating Bounds,REVIEW_NEEDED
347,Bent Over Calf Raises,REVIEW_NEEDED
1182,Hip Adduction,REVIEW_NEEDED
702,Cycling Intervals,REVIEW_NEEDED
1757,One Legged Bounds,REVIEW_NEEDED
392,Bird-dog,REVIEW_NEEDED
1650,Med Ball Chest Pass,REVIEW_NEEDED
1600,Lying Toes To Bar,REVIEW_NEEDED
1587,Lying Incline Curl,REVIEW_NEEDED
1700,Neck Extension (Banded Or Plate),REVIEW_NEEDED
2249,Seal Row,REVIEW_NEEDED
253,Banded Pull Apart,REVIEW_NEEDED
454,Butterfly Maschine,REVIEW_NEEDED
2588,Special Finisher,REVIEW_NEEDED
1912,Preacher Curl,REVIEW_NEEDED
1770,Overhead Extension - Partial,REVIEW_NEEDED
417,Bottom-2/3 Constant Tension Preacher Curl,REVIEW_NEEDED
1774,Overhead Pin Press,REVIEW_NEEDED
1751,One Arm Row (Dumbell),REVIEW_NEEDED
808,Dual Handle Elbows Out Row,REVIEW_NEEDED
1702,Neck Harness,REVIEW_NEEDED
2439,Single Hand Kickback,REVIEW_NEEDED
1522,Light Hammer,REVIEW_NEEDED
2884,Upper Pull Accessory 1,REVIEW_NEEDED
2618,Squat Heel Elavates,REVIEW_NEEDED
299,Bear Hug,REVIEW_NEEDED
608,Chin-Up (Weighted),REVIEW_NEEDED
2378,Side Lunge,REVIEW_NEEDED
1685,Moving Event,REVIEW_NEEDED
1653,Med Ball Shot Toss,REVIEW_NEEDED
187,BFR Bicep Curl,REVIEW_NEEDED
2988,Wood Chop (Resistance Band),REVIEW_NEEDED
656,Core,REVIEW_NEEDED
1758,Open Stone,REVIEW_NEEDED
662,Cossack Squats (Weighted),REVIEW_NEEDED
2500,Single-arm Sideways Sit Reverse Pec-Dec,REVIEW_NEEDED
1391,Kneeling Lunge Stretch,REVIEW_NEEDED
2109,Reverse Lunges,REVIEW_NEEDED
2282,Seated Front Raise,REVIEW_NEEDED
2932,Way Bent Over Row,REVIEW_NEEDED
2955,Weighted Walk,REVIEW_NEEDED
1760,Optional Lower Body Accessory 1,REVIEW_NEEDED
119,Ab Rollout,REVIEW_NEEDED
1326,Jacknifes,REVIEW_NEEDED
2083,Reverse Grip Bench,REVIEW_NEEDED
571,Chest Pull Over,REVIEW_NEEDED
1483,Lateral Squat - Low Alternating (reps per leg),REVIEW_NEEDED
2801,Towel Forearm Hold (Optional),REVIEW_NEEDED
2255,Seated Bicep Curl,REVIEW_NEEDED
3013,Yoga,REVIEW_NEEDED
1393,Kneeling Med Ball Rotational Toss,REVIEW_NEEDED
943,Flex - Horizontal Push (Placeholder),REVIEW_NEEDED
1805,Partial Chin-Up,REVIEW_NEEDED
2869,Unilateral Lat Focused Row,REVIEW_NEEDED
1743,One Arm Overhead Carry with March,REVIEW_NEEDED
125,Abdominal Exercise 1,REVIEW_NEEDED
1997,RP DB Drag Curl,REVIEW_NEEDED
1221,Hyperextension (Glute Focus),REVIEW_NEEDED
602,Child'S Pose,REVIEW_NEEDED
342,Bench T-Spine Stretch,REVIEW_NEEDED
2473,Single Leg RDL,REVIEW_NEEDED
2532,Slant Board Calf Stretch,REVIEW_NEEDED
1456,Lateral Line Hops,REVIEW_NEEDED
2266,Seated DB Shoulder Press,REVIEW_NEEDED
2866,Undershoot,REVIEW_NEEDED
1194,Hip Flexor,REVIEW_NEEDED
2156,Ring Triceps Extensions,REVIEW_NEEDED
2616,Squat (Paused),REVIEW_NEEDED
907,Ez-Bar Skull Crusher,REVIEW_NEEDED
2138,Ring Inverted Row,REVIEW_NEEDED
2669,Static Hold,REVIEW_NEEDED
1286,Incline Neutral Press DB,REVIEW_NEEDED
2504,Sissy Squat Weighted,REVIEW_NEEDED
1551,Low Row,REVIEW_NEEDED
1932,Press/Push/Jerk Complex,REVIEW_NEEDED
2232,Sandbag Squat,REVIEW_NEEDED
2647,Standing Hip Flexor March,REVIEW_NEEDED
1658,Med ball slam and lateral throw,REVIEW_NEEDED
1198,Hip Flexor Stretch,REVIEW_NEEDED
314,Behind-The-Back Shrug,REVIEW_NEEDED
1567,Lu raises,REVIEW_NEEDED
2188,Rotator Cuff,REVIEW_NEEDED
1707,Neck Work,REVIEW_NEEDED
1307,Internal/External Shoulder Rotation (Lying),REVIEW_NEEDED
670,Cross Body Lateral,REVIEW_NEEDED
1838,Pike Pushup,REVIEW_NEEDED
2101,Reverse Hamstring Curls,REVIEW_NEEDED
192,Backsquat,REVIEW_NEEDED
1887,Platz Squat,REVIEW_NEEDED
2014,RP SportsArt Triceps Extension,REVIEW_NEEDED
2533,Slant Board Situp,REVIEW_NEEDED
699,Customisable Row,REVIEW_NEEDED
2183,Rope/ Towel Ups,REVIEW_NEEDED
1330,Janicki Fly,REVIEW_NEEDED
2191,Rotator Cuff Pull Overs,REVIEW_NEEDED
80,45 Degree Extension,REVIEW_NEEDED
628,Close Grip Chest Press,REVIEW_NEEDED
441,Bulgarian split squat,REVIEW_NEEDED
2698,Straight Bar Lat Extension,REVIEW_NEEDED
2512,Six Ways,REVIEW_NEEDED
369,Bicep Curl Of Choice (Swap This Out For A Listed Exercise),REVIEW_NEEDED
2229,Sandbag Shoulder,REVIEW_NEEDED
896,Eugene Curls,REVIEW_NEEDED
1727,Oblique Roman Chair With Weight,REVIEW_NEEDED
1179,Hip Abduction,REVIEW_NEEDED
1543,Loop band row,REVIEW_NEEDED
2980,Wide Stance Sumo Squats,REVIEW_NEEDED
857,Dumbell Wide curl,REVIEW_NEEDED
752,Decline Skull Crushers,REVIEW_NEEDED
1668,Menno Curls,REVIEW_NEEDED
1094,Hammer Single Arm Preacher Bench,REVIEW_NEEDED
2716,Strict Curl,REVIEW_NEEDED
1202,Hip Thrust,REVIEW_NEEDED
870,EZ Bar Skullcrushers,REVIEW_NEEDED
1881,Plate Pinch,REVIEW_NEEDED
3043,crow pose,REVIEW_NEEDED
1195,Hip Flexor Bounce,REVIEW_NEEDED
248,Banded Hip Distraction,REVIEW_NEEDED
2130,Ring Ab Rollout,REVIEW_NEEDED
2340,Shadow Kick Boxing,REVIEW_NEEDED
2763,Tate Press,REVIEW_NEEDED
1738,One Arm Bent Over Row,REVIEW_NEEDED
2370,Shuttle Run,REVIEW_NEEDED
3001,Wrist Radial Deviation,REVIEW_NEEDED
1800,Pallof Press Holds,REVIEW_NEEDED
114,ATG Split Squat,REVIEW_NEEDED
778,Diamond Pushups,REVIEW_NEEDED
2379,Side Lying Clam (Plate),REVIEW_NEEDED
393,Birddogs,REVIEW_NEEDED
375,Bicep Stretch,REVIEW_NEEDED
1204,Hip Thrust (Band),REVIEW_NEEDED
2496,Single-Leg Squats,REVIEW_NEEDED
1426,Lat Pullaround,REVIEW_NEEDED
215,Band Lateral Walk,REVIEW_NEEDED
849,Dumbell Incline Shrugs,REVIEW_NEEDED
1647,Meadows Row,REVIEW_NEEDED
2777,Terminal Knee Extensions (TKEs) w/ band,REVIEW_NEEDED
2117,Reverse Row,REVIEW_NEEDED
2330,Seated alternating Dumbell Bicep Curl,REVIEW_NEEDED
575,Chest Supported Curl,REVIEW_NEEDED
1672,Middle Back Rows,REVIEW_NEEDED
1290,Incline Rear Delt Flye,REVIEW_NEEDED
3036,ab wheel weighted,REVIEW_NEEDED
55,10km Row,REVIEW_NEEDED
1001,Front Raise (Arm Behind You),REVIEW_NEEDED
121,Ab Train To Failure,REVIEW_NEEDED
128,Abs,REVIEW_NEEDED
1146,Heels Elevated Squat,REVIEW_NEEDED
2356,Shoulder Rotation,REVIEW_NEEDED
3000,Wrist Pronation,REVIEW_NEEDED
2841,Tricep Tate Press,REVIEW_NEEDED
2076,Reverse Dumbell Fly,REVIEW_NEEDED
865,Dynamic Warm Up,REVIEW_NEEDED
1350,Keenan Flap,REVIEW_NEEDED
2446,Single Leg Broad To 90,REVIEW_NEEDED
1382,Knee Raise (Weighted),REVIEW_NEEDED
2082,Reverse Forearm Curls,REVIEW_NEEDED
1459,Lateral Med Ball Slam,REVIEW_NEEDED
890,Elevated Wrist Stretch Holds,REVIEW_NEEDED
3055,stones over podium,REVIEW_NEEDED
2219,Sandbag Carry,REVIEW_NEEDED
695,Curtsy Lunge,REVIEW_NEEDED
2918,Wall Angel,REVIEW_NEEDED
912,Face Pull (No Hands),REVIEW_NEEDED
635,Close Grip Palm Out Bicep Pull Down,REVIEW_NEEDED
1315,Iso Hold Band Curl,REVIEW_NEEDED
1354,Kelso Shrug/Incline Row,REVIEW_NEEDED
2332,Secondary Hold,REVIEW_NEEDED
799,Double-Leg Stretch,REVIEW_NEEDED
2276,Seated Face Pull,REVIEW_NEEDED
1376,Kipping,REVIEW_NEEDED
169,Arm Hauler,REVIEW_NEEDED
2853,Turkish Get-Ups,REVIEW_NEEDED
2234,Sandbag To Shoulder,REVIEW_NEEDED
2074,Reverse Curls,REVIEW_NEEDED
2139,Ring Knee Tucks,REVIEW_NEEDED
1784,Overhead Rope Extension,REVIEW_NEEDED
1526,Light Weight For Distance,REVIEW_NEEDED
1345,KB Around The World,REVIEW_NEEDED
1400,Kneeling Windmill Press,REVIEW_NEEDED
223,Band Scarecrows,REVIEW_NEEDED
589,Chest Supported Row (12-15),REVIEW_NEEDED
2216,Sandbag Bear Hug Lunge,REVIEW_NEEDED
1641,Martial Arts,REVIEW_NEEDED
170,Arm-Out SingleArm DB Row,REVIEW_NEEDED
944,Flex - Single Leg Compound (Placeholder),REVIEW_NEEDED
1295,Incline Row DB,REVIEW_NEEDED
1222,Hyperextension (Weighted),REVIEW_NEEDED
804,Dragon Fly,REVIEW_NEEDED
2832,Tricep Pressdown,REVIEW_NEEDED
1720,OHP Pin Press,REVIEW_NEEDED
3007,Wrist Weights,REVIEW_NEEDED
47,1 Arm Lat Pullin,REVIEW_NEEDED
1140,Heel Slides,REVIEW_NEEDED
2619,Squat Pin Presses,REVIEW_NEEDED
2247,Scissors For Abs,REVIEW_NEEDED
2520,Skull Crusher,REVIEW_NEEDED
2193,Row,REVIEW_NEEDED
2202,Running In Place Toe Tap Air Touch,REVIEW_NEEDED
1131,Heavy Bag / Shadow Boxing,REVIEW_NEEDED
88,6 Ways,REVIEW_NEEDED
1216,Hollow Hold,REVIEW_NEEDED
1149,Hex Press,REVIEW_NEEDED
2785,Tibia Raise,REVIEW_NEEDED
2844,Triceps Extension (Straight Bar),REVIEW_NEEDED
152,Alternating Lateral Ball Slams,REVIEW_NEEDED
428,Bradford Press,REVIEW_NEEDED
2395,Single Arm Bicep Curl,REVIEW_NEEDED
964,Forearm Curl Straight Bar,REVIEW_NEEDED
2401,Single Arm Farmer Carry,REVIEW_NEEDED
1481,Lateral Shuffle With Ball Toss,REVIEW_NEEDED
1677,Mini Band - Walking,REVIEW_NEEDED
2121,Reverse Wrist Curl,REVIEW_NEEDED
2857,Twists,REVIEW_NEEDED
2217,Sandbag Bent-Over Row,REVIEW_NEEDED
2149,Ring Rack Chins,REVIEW_NEEDED
2792,Tire Slams,REVIEW_NEEDED
1186,Hip Airplanes,REVIEW_NEEDED
693,Curtesy Step Up,REVIEW_NEEDED
1732,Offset Carry,REVIEW_NEEDED
2314,Seated Shoulder Press,REVIEW_NEEDED
970,Forearm Raise,REVIEW_NEEDED
566,Chest Press (Resistance Band),REVIEW_NEEDED
966,Forearm Finger Curl Pronated (Optional),REVIEW_NEEDED
1520,Lift From The Lap To Chest Height (Vertical Method 1),REVIEW_NEEDED
963,Forearm Curl,REVIEW_NEEDED
714,Dead Hang For Time,REVIEW_NEEDED
416,Bottom Half Standing Calf Raise,REVIEW_NEEDED
1693,Nautilus Single Arm Curl,REVIEW_NEEDED
548,Cartwheel,REVIEW_NEEDED
737,Decline Chest Press,REVIEW_NEEDED
2718,Suitcase Carry,REVIEW_NEEDED
631,Close Grip Elevated Pushups,REVIEW_NEEDED
3014,Yoga (Stretching Routine),REVIEW_NEEDED
1773,Overhead PVC Pass-Throughs,REVIEW_NEEDED
1523,Light Jog,REVIEW_NEEDED
435,"Bulgarian Split Squat (12,10,8,6,4/Per Leg)",REVIEW_NEEDED
2436,Single Arm Tricep Press down,REVIEW_NEEDED
59,1km Run (4/3),REVIEW_NEEDED
1882,Plate Raise,REVIEW_NEEDED
2963,Wide Grip Chest Press,REVIEW_NEEDED
570,Chest Press-Around,REVIEW_NEEDED
1529,Linear Accelerations - 30 Yards Moderate/ 10 Yards Max,REVIEW_NEEDED
1746,One Arm Press,REVIEW_NEEDED
2009,RP Nautilus Chain Fed Decline Press,REVIEW_NEEDED
1159,High Incline DB Press,REVIEW_NEEDED
914,Face Pull (Rotator Cuff),REVIEW_NEEDED
289,Barefoot Mobility,REVIEW_NEEDED
757,Deep Split Squats (Weighted),REVIEW_NEEDED
414,Bosu Squat,REVIEW_NEEDED
885,Elevated Pigeon Stretch,REVIEW_NEEDED
1477,Lateral Short Shuffle,REVIEW_NEEDED
2972,Wide Grip Tricep Push Down,REVIEW_NEEDED
1642,Massive Curls,REVIEW_NEEDED
802,Drag Curls,REVIEW_NEEDED
2235,Sandbag carry,REVIEW_NEEDED
2375,Side Extension,REVIEW_NEEDED
2704,Straight Leg Shuffle 20 Yrds,REVIEW_NEEDED
221,Band Resisted Steal Starts,REVIEW_NEEDED
2390,Side-Lying Hip Abduction,REVIEW_NEEDED
1662,Medicine Ball Hook,REVIEW_NEEDED
550,Cat Cow Stretch,REVIEW_NEEDED
692,Curl-Up,REVIEW_NEEDED
2215,Sandbag Bear Hug Carry (3 Sets),REVIEW_NEEDED
453,Butterfly DB,REVIEW_NEEDED
3015,Yoga Bridge,REVIEW_NEEDED
1351,Keenan Pullover Sagital,REVIEW_NEEDED
3016,Yoke,REVIEW_NEEDED
542,Cardio (LISS),REVIEW_NEEDED
663,Couch Stretch,REVIEW_NEEDED
2244,SchräGbankdrüCken,REVIEW_NEEDED
603,Child'S Pose Strech,REVIEW_NEEDED
742,Decline Dumbell Scullcrusher,REVIEW_NEEDED
772,Deficit Row,REVIEW_NEEDED
1652,Med Ball Rotational Toss,REVIEW_NEEDED
1017,GH Situp,REVIEW_NEEDED
2048,Rest 2 To 3 Minutes,REVIEW_NEEDED
960,Foam Rolling,REVIEW_NEEDED
2342,Shiko,REVIEW_NEEDED
1217,Hollow Rock,REVIEW_NEEDED
1692,Nautilus Inspriation Row (Wide-Grip),REVIEW_NEEDED
2195,Row Between Chairs,REVIEW_NEEDED
1291,Incline Rear Delt Raises,REVIEW_NEEDED
2594,Speed Squat,REVIEW_NEEDED
2051,Rest Pause - Chest Isolation (Placeholder),REVIEW_NEEDED
647,Competition Squat,REVIEW_NEEDED
2900,VO2 Max Intervals,REVIEW_NEEDED
1919,Preacher Curl (Plate Loaded),REVIEW_NEEDED
442,Bulgarien Split Sqauts,REVIEW_NEEDED
1521,Light Cardio,REVIEW_NEEDED
2525,Skull Crusher (EZ bar),REVIEW_NEEDED
1586,Lying Hamstring Curl,REVIEW_NEEDED
2277,Seated Flexion Row,REVIEW_NEEDED
1019,GHR’s,REVIEW_NEEDED
2376,Side Knees To Elbows,REVIEW_NEEDED
913,Face Pull (Paused),REVIEW_NEEDED
293,Batwing Row,REVIEW_NEEDED
1605,M Drill,REVIEW_NEEDED
1614,Mace Ball Uppercut,REVIEW_NEEDED
2458,Single Leg Glute Bridge,REVIEW_NEEDED
1733,Omni Press,REVIEW_NEEDED
1670,Mercy 30 Curls,REVIEW_NEEDED
2162,Rollouts,REVIEW_NEEDED
1163,High Knee Butt Kick Run 15 Yards,REVIEW_NEEDED
2597,Spider Front Raises,REVIEW_NEEDED
2814,Tree Pose,REVIEW_NEEDED
1318,Iso-lateral Low Row,REVIEW_NEEDED
1491,Leaning Overhead Extension,REVIEW_NEEDED
981,French Press,REVIEW_NEEDED
1304,Incline dumbell row,REVIEW_NEEDED
1274,Incline Dumbell Press,REVIEW_NEEDED
1925,Preacher Death Curls,REVIEW_NEEDED
1659,Medicine Ball Chest Pass,REVIEW_NEEDED
1998,RP Flat Hammer Chest Press,REVIEW_NEEDED
790,Donkey Kick (Strap Band),REVIEW_NEEDED
2329,Seated Wrist Curls (12-15),REVIEW_NEEDED
79,45 Degree Back Raise,REVIEW_NEEDED
2040,Reserve Fly,REVIEW_NEEDED
2783,Tib Raise,REVIEW_NEEDED
2150,Ring Rear Delt Flies,REVIEW_NEEDED
2335,Select Your Pressdown (Swap This Out For A Listed Exercise),REVIEW_NEEDED
1644,Max - Squat/Hinge (Placeholder),REVIEW_NEEDED
562,Chest Press,REVIEW_NEEDED
1835,Pigeon Stretch with Thoracic Rotation,REVIEW_NEEDED
2089,Reverse Grip Decline Pushup,REVIEW_NEEDED
1059,Grip Hold,REVIEW_NEEDED
172,Arms Behind Back Shoulder Stretch,REVIEW_NEEDED
2325,Seated Triceps Press,REVIEW_NEEDED
364,Bicep Curl (EZ Bar),REVIEW_NEEDED
580,Chest Supported Incline Shrug,REVIEW_NEEDED
1030,Glute Bridge Hold,REVIEW_NEEDED
2242,Scapular Wall Slides,REVIEW_NEEDED
892,Elliptical,REVIEW_NEEDED
2789,Tibialis Raise,REVIEW_NEEDED
1144,Heel-to-Toe Walk,REVIEW_NEEDED
1701,Neck Flexion,REVIEW_NEEDED
2223,Sandbag Getup To Shoulder Carry,REVIEW_NEEDED
708,DB Wrist Extensions,REVIEW_NEEDED
2854,Turning Kicks ( MMa),REVIEW_NEEDED
2320,Seated Straight Row - Hammer Strength,REVIEW_NEEDED
1718,Nordic Curl,REVIEW_NEEDED
115,Ab Coaster,REVIEW_NEEDED
1832,Peterson Step-Ups,REVIEW_NEEDED
1766,Overhead Chest Press,REVIEW_NEEDED
2057,Rest Pause - Triceps Isolation (Placeholder),REVIEW_NEEDED
1826,Pelican Curl,REVIEW_NEEDED
1983,Pushup With Rotation,REVIEW_NEEDED
1944,Prowler Push,REVIEW_NEEDED
2712,Strength - Quad Compound (Placeholder),REVIEW_NEEDED
2812,Trapbar High Pull,REVIEW_NEEDED
2964,Wide Grip Chest Supported Row,REVIEW_NEEDED
2380,Side Lying Hip Abduction,REVIEW_NEEDED
1465,"Lateral Pull Down, Mid Twisted Grip",REVIEW_NEEDED
919,Fartlek Workout,REVIEW_NEEDED
1756,One Leg Jack Knife,REVIEW_NEEDED
2664,Standing Single Leg Calf Raise,REVIEW_NEEDED
359,"Bicep Curl (12,10,8,6,4)",REVIEW_NEEDED
2747,T Bar Rows,REVIEW_NEEDED
1730,Oblique twist,REVIEW_NEEDED
2743,Swan Dive,REVIEW_NEEDED
193,Backward Run,REVIEW_NEEDED
965,Forearm External  Rotation,REVIEW_NEEDED
2411,Single Arm Lat Pullover,REVIEW_NEEDED
918,Farmer’s Walk For Time,REVIEW_NEEDED
1395,Kneeling Med Ball Single Arm Pass,REVIEW_NEEDED
188,Back Extension,REVIEW_NEEDED
657,Core Sliders,REVIEW_NEEDED
597,Chest Supported T Bar Row,REVIEW_NEEDED
2919,Wall Angels,REVIEW_NEEDED
1694,Neck Circles,REVIEW_NEEDED
3010,Y T W's (Incline Bench),REVIEW_NEEDED
2656,Standing Pec Fly,REVIEW_NEEDED
1038,Glute Hyperextension,REVIEW_NEEDED
2905,Viking Press,REVIEW_NEEDED
78,40m-200m,REVIEW_NEEDED
877,Elastic Exercise Glutheus Min/Med.,REVIEW_NEEDED
2779,Thoracic Spine Foam Rolling,REVIEW_NEEDED
73,30m Sprint,REVIEW_NEEDED
2633,Stair Stepper,REVIEW_NEEDED
2627,Squats (Pin),REVIEW_NEEDED
1225,ISO Low Row,REVIEW_NEEDED
2910,Walking Lunge,REVIEW_NEEDED
1016,Full-Body Mobility Routine 8 (Follow Along),REVIEW_NEEDED
1715,Neutral Grip Row,REVIEW_NEEDED
2192,Round Off,REVIEW_NEEDED
3006,Wrist Ulnar Deviation,REVIEW_NEEDED
2213,Sandbag  Press,REVIEW_NEEDED
2327,Seated Twists,REVIEW_NEEDED
1121,Hanging Knee Raises,REVIEW_NEEDED
176,Around The World,REVIEW_NEEDED
1904,Power Jerk,REVIEW_NEEDED
1705,Neck Side Curl,REVIEW_NEEDED
614,Clap Pushups,REVIEW_NEEDED
853,"Dumbell Row (12,10,8,6,4/Per Arm)",REVIEW_NEEDED
2257,Seated Bike,REVIEW_NEEDED
2990,Workout,REVIEW_NEEDED
1608,MEOW MEOW,REVIEW_NEEDED
163,Any Press,REVIEW_NEEDED
1011,Full-Body Mobility Routine (Follow Along),REVIEW_NEEDED
2110,Reverse Medicine Ball Throw,REVIEW_NEEDED
1109,Hand Release Push,REVIEW_NEEDED
2072,Reverse Curl,REVIEW_NEEDED
2016,Rack Chins,REVIEW_NEEDED
2013,RP Seated Hamstring Curls,REVIEW_NEEDED
2686,Stir The Pot,REVIEW_NEEDED
1540,Long rope standing overhead ext,REVIEW_NEEDED
1812,Patrick Step,REVIEW_NEEDED
1041,Glute Med Kickback,REVIEW_NEEDED
1829,Pendulum Squat,REVIEW_NEEDED
1213,Hip abduction,REVIEW_NEEDED
1594,Lying Paused Rope Face Pull,REVIEW_NEEDED
1201,Hip Raise,REVIEW_NEEDED
350,Bent Over Reverse Fly,REVIEW_NEEDED
